# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
33,1624931662.1336994,54083584,-0.0030351533205248415,0.05112476491679748,0.4258329284687837,0.84250003,0.87625,0.24825001,0.0,0.813375,0.893125,1433.0403905452486,1.0,0.9,0.3
34,1624932951.489384,55721984,-0.0027884889277629554,0.0068582452173965676,0.3499727634092172,0.811,0.7975,0.063999996,0.0,0.695375,0.89312506,1271.1835474558286,1.0,0.8,0.1
35,1624934133.36947,57360384,-0.0028569678349109986,0.02233446288543443,0.4620700317124526,0.91225004,0.92125,0.0,0.0,0.724625,0.91,1387.4289774830484,1.0,0.8,0.0
36,1624935554.1923175,58998784,-0.002038422137654076,0.005173307659182076,0.7079937383532524,0.9775001,0.9775,0.276375,0.0,0.801,0.88750005,1149.101499941545,1.0,0.9,0.3
37,1624937128.9536715,60637184,-0.0026246830724024526,0.009718998956183592,0.6869708125789961,0.971875,0.9775,0.07525,0.0,0.74474996,0.938125,1040.0281673914903,1.0,0.9,0.1
38,1624938410.4576838,62275584,-0.0020535312748203674,0.1656233842174212,0.45369437833627063,0.78637505,0.87625,0.442625,0.370625,0.81675005,0.926875,1280.893456199463,0.9,0.9,0.5
39,1624939929.99509,63913984,-0.0018613134355594714,0.004577672312734649,0.6748130321502686,0.8797501,0.9775,0.09775,0.0,0.62125,0.870625,1079.5459513564026,0.9,0.7,0.1
40,1624941171.9263277,65552384,-0.0027582594484556466,0.01646305430525293,0.39066021020213765,0.94037503,0.94375,0.0595,0.0,0.8548751,0.859375,1320.9554775853724,1.0,1.0,0.1
41,1624942387.1212227,67190784,-0.0028920763870701194,0.006340325130925824,0.6448116699854533,0.95612496,0.9775,0.092125,0.0,0.519,0.7525,1349.5797528478213,1.0,0.6,0.1
42,1624943411.2295458,68829184,0.0012362925723815958,0.009985325178907564,0.5352085332075754,0.96625006,0.96625,0.2875,0.0,0.89425004,0.904375,1580.6370692170674,1.0,1.0,0.4
43,1624945031.0260878,70467584,-0.002470076181149731,0.004988923377823085,0.6249238476157188,0.96175003,0.9775,0.297625,0.0,0.69312495,0.8425,1017.4860840118171,1.0,0.8,0.4
