# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
26,1624911514.825881,42614784,-0.0035206634929636493,0.02730053151026368,1.4354294786850612,0.70549995,0.859375,0.144875,0.0,0.650375,0.775,5139.389090930093,0.8,0.8,0.2
27,1624911840.4069579,44253184,-0.002887658968878289,0.052405089139938354,1.5131131013234456,0.624625,0.893125,0.046,0.0,0.68975,0.865,4976.384746149156,0.7,0.8,0.1
28,1624912155.4665804,45891584,-0.0026611851838727794,0.09911665599793196,1.5396166394154231,0.53587496,0.825625,0.19874999,0.0,0.90775,0.90999997,5049.126258703499,0.6,1.0,0.3
29,1624912473.213712,47529984,-0.0012531141110230237,0.010666337620932609,1.5463851888974507,0.64712495,0.88187504,0.0,0.0,0.747125,0.92125,5150.032748238981,0.7,0.8,0.0
30,1624912797.0290647,49168384,-0.00223730937189733,0.04201845793674389,1.5317439287900925,0.72349995,0.87625,0.144875,0.0,0.84825003,0.94937503,5099.803120581576,0.8,0.9,0.2
31,1624913127.4053566,50806784,-0.0017288032686337829,0.024721473183793325,1.4751205990711849,0.642625,0.893125,0.189875,0.0,0.619,0.83124995,5058.647479998672,0.7,0.7,0.2
32,1624913452.9128866,52445184,-0.004923181162060549,0.0544440373002241,1.4629286378622055,0.63699996,0.865,0.28987497,0.0,0.8638749,0.87625,4956.316138449697,0.7,1.0,0.3
33,1624913784.5324924,54083584,-0.0024357171302350857,0.04121296713128686,1.467296153306961,0.72912496,0.915625,0.242625,0.0,0.629125,0.865,5000.01349930137,0.8,0.7,0.3
34,1624914108.0431364,55721984,-0.002247870259452611,0.011388875427655876,1.4202702393134434,0.444875,0.41,0.131375,0.0,0.371875,0.0,4944.63137963355,0.5,0.4,0.2
35,1624914429.7556634,57360384,-0.0048465675208717585,0.07771960832178593,1.3883839845657349,0.73812497,0.904375,0.0,0.0,0.815625,0.893125,5109.146608843155,0.8,0.9,0.0
36,1624914756.5577815,58998784,-0.002356009829478959,0.044705409090965986,1.4361904015143712,0.7807499,0.92125,0.196625,0.0,0.74375,0.89875,5029.0393164874795,0.9,0.8,0.2
37,1624915088.9401577,60637184,-0.00275586605615293,0.03689382349451383,1.3521579603354137,0.857125,0.893125,0.130125,0.0,0.735875,0.926875,4937.8338765562885,1.0,0.8,0.3
38,1624915423.139622,62275584,-0.003058297181269154,0.02632352306197087,1.30255622168382,0.73925,0.90999997,0.06275,0.0,0.762875,0.94937503,4849.790879929455,0.8,0.8,0.2
39,1624915756.0569212,63913984,-0.0011292598307287942,0.048905476772536836,1.3234503070513408,0.59987503,0.7975,0.0,0.0,0.81450003,0.893125,4940.662879669776,0.7,0.9,0.0
40,1624916088.3564198,65552384,-0.003254254135147979,0.02955330799644192,1.322313552101453,0.724625,0.865,0.36062497,0.0,0.88975,0.89875,4919.713081919654,0.8,1.0,0.4
