# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
21,1624909911.4194086,36061184,-0.0026961767968411245,0.03446896843767414,0.29963455473383266,0.91941327,0.9139031,0.61114794,0.8565051,0.92033166,0.92423475,5692.248457715705,1.0,1.0,0.7
22,1624910191.1891227,37699584,-0.005331347444249938,0.03141750740663459,0.2966582042475541,0.91688776,0.91849494,0.73367345,0.8783163,0.9033419,0.91734695,5762.71613285475,1.0,1.0,1.0
23,1624910482.2856898,39337984,-0.002125031780451536,0.10194104847808678,0.3812652106086413,0.91,0.9139031,0.8530612,0.9024235,0.9077042,0.91505104,5889.614774147233,1.0,1.0,1.0
24,1624910775.6316607,40976384,-0.002136690600309521,0.014067233928168813,0.3502373086909453,0.9276786,0.9334184,0.81459177,0.91849494,0.9042603,0.9334184,5612.395019268402,1.0,1.0,0.9
25,1624911063.6902366,42614784,-0.0029854597814846784,0.2043075580149889,0.5393728241324425,0.92859685,0.9345663,0.78933674,0.9024235,0.92354596,0.9311224,5657.873213818318,1.0,1.0,0.9
26,1624911337.0805826,44253184,-0.0025330215770130358,0.22227871914704642,0.6440602416793505,0.7838265,0.9035714,0.866148,0.8920918,0.8237755,0.9207908,5980.091522243357,0.9,0.9,1.0
27,1624911610.5252662,45891584,-0.0027084369600440064,0.25998601255317527,0.5649751226107279,0.91941327,0.9219388,0.804949,0.90586734,0.9308928,0.9403061,5872.0714379202145,1.0,1.0,0.9
28,1624911885.3294106,47529984,-0.0011555033658320706,0.2493172287940979,0.48543131599823636,0.9338776,0.9357143,0.9180357,0.9207908,0.92698985,0.9357143,5945.362529899393,1.0,1.0,1.0
29,1624912160.947164,49168384,-0.0016722018675257762,0.22255952470004559,0.4261513327558835,0.9267601,0.9311224,0.7314796,0.90586734,0.9223979,0.92308676,5803.601004323686,1.0,1.0,0.9
30,1624912444.3627274,50806784,-0.001555894346286853,0.08389795835440357,0.3658330664038658,0.920102,0.9219388,0.82974494,0.9276786,0.9281378,0.94145405,5967.116790429808,1.0,1.0,0.9
31,1624912734.4564788,52445184,-0.0013368706180093188,0.28456797326604527,0.5282410507400831,0.73938775,0.91734695,0.82079077,0.91160715,0.9276786,0.92308676,5654.257334531931,0.8,1.0,0.9
32,1624913028.163186,54083584,-0.0032973940639446178,0.2096127321322759,0.43471484010418254,0.93364793,0.9357143,0.6455868,0.90931123,0.9256123,0.9276786,5626.972340220815,1.0,1.0,0.7
33,1624913310.6062114,55721984,-0.0013978730227487783,0.10069376214717825,0.3897763229906559,0.8106888,0.9357143,0.89163256,0.8966837,0.74535716,0.9253827,5678.901996721784,0.9,0.8,1.0
34,1624913601.9695404,57360384,-0.00021903030574321747,0.0506955924599121,0.29627123723427456,0.92607135,0.9334184,0.79484695,0.9242347,0.94007653,0.9391582,5639.433086825323,1.0,1.0,0.9
35,1624913894.7675998,58998784,-0.0009957161382772028,0.047046284579361476,0.2377756821612517,0.9414541,0.94145405,0.7461735,0.9219388,0.9370918,0.93915814,5538.051327126595,1.0,1.0,0.9
36,1624914193.4924335,60637184,-0.002406516500438253,0.1339924717321992,0.26927239323655766,0.94030607,0.94145405,0.7322704,0.91160715,0.9343368,0.92997444,5572.771611979868,1.0,1.0,0.8
37,1624914482.3749876,62275584,0.00028377775258074206,0.09432823304086924,0.3012624867260456,0.8367602,0.9219388,0.83698976,0.91964287,0.93525517,0.9380102,5542.308179725733,1.0,1.0,1.0
38,1624914766.5564506,63913984,-0.0011082451286104817,0.02766604469312976,0.2726936476926009,0.9320408,0.9357143,0.7349235,0.91390306,0.9389286,0.9403061,5810.889096535908,1.0,1.0,0.9
39,1624915055.6516953,65552384,-0.002414665223720173,0.027476684578383963,0.21924685997267565,0.9166582,0.91964287,0.76752555,0.90816325,0.9267603,0.9253826,5620.758014006296,1.0,1.0,0.9
40,1624915339.2645996,67190784,-0.0024912680964916945,0.12354933160046737,0.40037480369210243,0.937551,0.93686223,0.9288265,0.9288266,0.93571436,0.93571424,5746.223317399213,1.0,1.0,1.0
41,1624915629.6634803,68829184,-0.004389701896191885,0.10286227706819773,0.2968084861834844,0.92698973,0.9311224,0.74765307,0.9253826,0.94122446,0.9380102,5645.107505386218,1.0,1.0,0.8
42,1624915920.9379644,70467584,-0.0005948515996957818,0.025374152852843206,0.1683555922160546,0.93525517,0.9357143,0.8359439,0.9334184,0.94375,0.9494898,5548.891313071165,1.0,1.0,0.9
43,1624916214.227733,72105984,-0.0008536660267661015,0.04854960964682201,0.2018935934950908,0.931352,0.9311224,0.8127551,0.9299745,0.8453571,0.94260204,5601.368146120757,1.0,0.9,0.9
